Appealing (Piękny)
Beneficent (Przymilny)
Brash (Pewny Siebie)
Calm (Spokojny)
Chaotic (Chaotyczny)
Charming (Urokliwy)
Clever (Bystry)
Clumsy (Niezręczny)
Craven (Tchórzliwy)
Creative (Kreatywny)
Cruel (Okrutny)
Dishonorable (Niehonorowy)
Doomed (Skazany na Zagładę)
Empathic (Empatyczny)
Exiled (Wygnany)
Fast (Szybki)
Foolish (Idiotyczny)
Graceful (Pełen Wdzięku)
Guarded (Ostrożny)
Hardy (Wytrzymały)
Hideous (Szpetny)
Honorable (Honorowy)
Impulsive (Impulsywny)
Inquisitive (Ciekawy)
Intelligent (Inteligentny)
Intuitive (Intuitywny)
Jovial (Przyjazny)
Kind (Miły)
Learned (Uczony)
Lucky (Szczęśliwy)
Mad (Szalony)
Mechanical (Mechaniczny)
Mysterious (Tajemniczy)
Mystical (Mistyczny)
Naive (Naiwny)
Perceptive (Uważny)
Resilient (Odporny)
Risk-Taking (Ryzykujący)
Rugged (Dziki)
Sharp-Eyed (Bystrooki)
Skeptical (Sceptyczny)
Stealthy (Ukradkowy)
Strong (Silny)
Strong-Willed (Odporny Psychicznie)
Swift (Zwinny)
Tongue-Tied (Milkliwy)
Tough (Twardy)
Vicious (Złośliwy)
Virtuous (Szlachetny)
Weird (Dziwny)
